ASU_Acar ID	NCBI Gene ID	NCBI Gene Symbol	Ensembl Gene ID	Ensembl Gene Name	RefSeq Gene Description from Blast2GO matches
ASU_Acar_G.10077	100553320	kcnh8	ENSACAG00000000019	KCNH8	-
ASU_Acar_G.10078	-	-	-	-	PREDICTED: hypothetical protein LOC100430013
ASU_Acar_G.10079	-	-	-	-	-
ASU_Acar_G.1008	100565290	LOC100565290	-	-	-
ASU_Acar_G.10080	100553063	LOC100553063	ENSACAG00000011145	ANKRD17	-
ASU_Acar_G.10081	100555670	LOC100555670	ENSACAG00000012951	-	-
ASU_Acar_G.10082	100564725	LOC100564725	ENSACAG00000012646	BZW2	-
ASU_Acar_G.10083	-	-	-	-	-
ASU_Acar_G.10084	100563222	LOC100563222	ENSACAG00000000712	ACAD11	-
ASU_Acar_G.10085	100565907	LOC100565907	ENSACAG00000008077	IGFBP3	-
ASU_Acar_G.10086	100564062	dcaf7	ENSACAG00000012744	DCAF7	-
ASU_Acar_G.10087	-	-	-	-	-
ASU_Acar_G.10088	100561307	pitrm1	ENSACAG00000008286	PITRM1	-
ASU_Acar_G.10089	-	-	-	-	-
ASU_Acar_G.1009	-	-	-	-	rna-directed dna polymerase from mobile element jockey-like
ASU_Acar_G.10090	100563349	LOC100563349	ENSACAG00000006297	SNF8	-
ASU_Acar_G.10091	100561645	LOC100561645	ENSACAG00000002516	-	-
ASU_Acar_G.10092	-	-	-	-	transcriptional adapter 2-alpha-like
ASU_Acar_G.10093	-	-	-	-	disintegrin and metalloproteinase domain-containing protein 22-like
ASU_Acar_G.10094	-	-	-	-	-
ASU_Acar_G.10095	100566558	reck	ENSACAG00000009097	RECK	-
ASU_Acar_G.10096	-	-	-	-	transcriptional adapter 2-alpha-like
ASU_Acar_G.10097	-	-	-	-	-
ASU_Acar_G.10098	-	-	-	-	-
ASU_Acar_G.10099	-	-	-	-	-
ASU_Acar_G.101	100552052	LOC100552052	ENSACAG00000002791	TCTE3	-
ASU_Acar_G.1010	100560615	LOC100560615	-	-	-
ASU_Acar_G.10100	100559076	LOC100559076	ENSACAG00000017482	-	-
ASU_Acar_G.10101	100556058	LOC100556058	ENSACAG00000012582	ADAM11	-
ASU_Acar_G.10102	100564396	LOC100564396	ENSACAG00000026769	-	-
ASU_Acar_G.10103	100554299	LOC100554299	ENSACAG00000007580	BAMBI	-
ASU_Acar_G.10104	100566170	LOC100566170	ENSACAG00000008807	INVS	-
ASU_Acar_G.10105	100567857	LOC100567857	ENSACAG00000006664	SEC22C	-
ASU_Acar_G.10106	100563806	LOC100563806	ENSACAG00000017511	-	-
ASU_Acar_G.10107	100555863	gli3	ENSACAG00000017547	GLI3	-
ASU_Acar_G.10108	100565708	LOC100565708	ENSACAG00000013144	-	-
ASU_Acar_G.10109	100552994	LOC100552994	ENSACAG00000000017	RAB5A	-
ASU_Acar_G.1011	100554331	syne2	ENSACAG00000015900	-	-
ASU_Acar_G.10110	-	-	-	-	-
ASU_Acar_G.10111	100564133	LOC100564133	ENSACAG00000012232	SYT3	-
ASU_Acar_G.10112	100566498	LOC100566498	ENSACAG00000003358	-	-
ASU_Acar_G.10113	100568051	mpp6	ENSACAG00000013302	MPP6	-
ASU_Acar_G.10114	-	-	-	-	-
ASU_Acar_G.10115	100554236	LOC100554236	ENSACAG00000017887	LEPREL4	-
ASU_Acar_G.10116	-	-	ENSACAG00000012090	-	-
ASU_Acar_G.10117	100555415	trank1	ENSACAG00000010154	TRANK1	-
ASU_Acar_G.10118	100560189	LOC100560189	-	-	-
ASU_Acar_G.10119	-	-	-	-	-
ASU_Acar_G.1012	100558451	LOC100558451	ENSACAG00000005739	-	-
ASU_Acar_G.10120	100558681	klhl7	ENSACAG00000013755	KLHL7	-
ASU_Acar_G.10121	100567268	LOC100567268	ENSACAG00000014032	TOMM7	-
ASU_Acar_G.10122	-	-	-	-	-
ASU_Acar_G.10123	100561573	LOC100561573	ENSACAG00000014046	LASP1	-
ASU_Acar_G.10124	100559597	LOC100559597	ENSACAG00000008138	-	-
ASU_Acar_G.10125	100567076	LOC100567076	ENSACAG00000015461	-	-
ASU_Acar_G.10126	100564003	fignl1	ENSACAG00000026371	FIGNL1	-
ASU_Acar_G.10127	100561056	LOC100561056	ENSACAG00000013921	NOSIP	-
ASU_Acar_G.10128	100563932	LOC100563932	ENSACAG00000006137	ADCYAP1R1	-
ASU_Acar_G.10129	100568183	LOC100568183	ENSACAG00000006521	HOXB2	-
ASU_Acar_G.1013	100558644	LOC100558644	ENSACAG00000014352	ALX4	-
ASU_Acar_G.10130	-	-	-	-	-
ASU_Acar_G.10131	-	-	-	-	-
ASU_Acar_G.10132	100559271	LOC100559271	ENSACAG00000017678	-	-
ASU_Acar_G.10133	100560262	LOC100560262	-	-	-
ASU_Acar_G.10134	-	-	-	-	-
ASU_Acar_G.10135	100554888	LOC100554888	ENSACAG00000013140	CWC25	-
ASU_Acar_G.10136	100555864	LOC100555864	ENSACAG00000012739	SCN4A	-
ASU_Acar_G.10137	100561837	LOC100561837	ENSACAG00000013892	WNK4	-
ASU_Acar_G.10138	100559270	LOC100559270	ENSACAG00000002832	EAF1	-
ASU_Acar_G.10139	100559136	LOC100559136	ENSACAG00000006686	CDK5RAP3	-
ASU_Acar_G.1014	100555517	LOC100555517	ENSACAG00000016362	RD3	-
ASU_Acar_G.10140	100564922	LOC100564922	ENSACAG00000006760	HHATL	-
ASU_Acar_G.10141	100554300	LOC100554300	ENSACAG00000005060	-	-
ASU_Acar_G.10142	100564654	steap2	ENSACAG00000015895	STEAP2	-
ASU_Acar_G.10143	-	-	-	-	-
ASU_Acar_G.10144	100562364	LOC100562364	ENSACAG00000013078	COL28A1	-
ASU_Acar_G.10145	100557758	LOC100557758	ENSACAG00000000953	FKBP14	-
ASU_Acar_G.10146	100551679	LOC100551679	-	-	-
ASU_Acar_G.10147	100555216	LOC100555216	ENSACAG00000017930	FTSJ3	-
ASU_Acar_G.10148	100556643	LOC100556643	ENSACAG00000011018	EN2	-
ASU_Acar_G.10149	100566689	LOC100566689	ENSACAG00000003308	IKZF3	-
ASU_Acar_G.1015	100554468	LOC100554468	ENSACAG00000005569	CCT4	-
ASU_Acar_G.10150	-	-	-	-	-
ASU_Acar_G.10151	-	-	-	-	-
ASU_Acar_G.10152	100555476	LOC100555476	ENSACAG00000028160	-	-
ASU_Acar_G.10153	-	-	-	-	-
ASU_Acar_G.10154	100552995	LOC100552995	ENSACAG00000004836	NGFR	-
ASU_Acar_G.10155	-	-	-	-	-
ASU_Acar_G.10156	100560784	LOC100560784	ENSACAG00000016739	-	-
ASU_Acar_G.10157	100556591	LOC100556591	ENSACAG00000009537	PDE1C	-
ASU_Acar_G.10158	100565912	LOC100565912	ENSACAG00000013323	NTF4	-
ASU_Acar_G.10159	-	-	-	-	-
ASU_Acar_G.1016	100553418	LOC100553418	ENSACAG00000004120	CHRM4	-
ASU_Acar_G.10160	-	-	-	-	PREDICTED: hypothetical protein LOC100563667
ASU_Acar_G.10161	100555017	LOC100555017	ENSACAG00000010185	STAC	-
ASU_Acar_G.10162	100559668	LOC100559668	ENSACAG00000017651	AMPH	-
ASU_Acar_G.10163	-	-	ENSACAG00000017596	MPLKIP	-
ASU_Acar_G.10164	100566688	LOC100566688	ENSACAG00000009304	SULT1B1	-
ASU_Acar_G.10165	100564330	LOC100564330	ENSACAG00000012308	C19orf63	-
ASU_Acar_G.10166	100565911	LOC100565911	-	-	-
ASU_Acar_G.10167	100565578	LOC100565578	ENSACAG00000008710	AHRR	-
ASU_Acar_G.10168	-	-	-	-	-
ASU_Acar_G.10169	-	-	ENSACAG00000026820	CSF3	-
ASU_Acar_G.1017	100564363	LOC100564363	-	-	-
ASU_Acar_G.10170	100557697	fkbp9	ENSACAG00000009397	FKBP9	-
ASU_Acar_G.10171	100554433	LOC100554433	ENSACAG00000017899	-	-
ASU_Acar_G.10172	100561251	nod1	ENSACAG00000002919	NOD1	-
ASU_Acar_G.10173	100567270	LOC100567270	ENSACAG00000002674	CASC3	-
ASU_Acar_G.10174	100565640	LOC100565640	ENSACAG00000008163	APBB1IP	-
ASU_Acar_G.10175	100563157	LOC100563157	ENSACAG00000011931	-	-
ASU_Acar_G.10176	-	-	ENSACAG00000001230	ASCC2	-
ASU_Acar_G.10177	100568250	LOC100568250	ENSACAG00000008418	FOXI2	-
ASU_Acar_G.10178	100561179	LOC100561179	-	-	-
ASU_Acar_G.10179	100557366	LOC100557366	ENSACAG00000012587	AGR2	-
ASU_Acar_G.1018	100558836	cdan1	ENSACAG00000015807	CDAN1	-
ASU_Acar_G.10180	100563668	LOC100563668	ENSACAG00000007829	MKX	-
ASU_Acar_G.10181	100557367	LOC100557367	ENSACAG00000002275	COLQ	-
ASU_Acar_G.10182	100554885	LOC100554885	ENSACAG00000016457	FAM171A1	-
ASU_Acar_G.10183	-	-	-	-	-
ASU_Acar_G.10184	-	-	-	-	PREDICTED: hypothetical protein LOC100710874
ASU_Acar_G.10185	100562086	LOC100562086	-	-	-
ASU_Acar_G.10186	100566883	LOC100566883	ENSACAG00000013797	-	-
ASU_Acar_G.10187	100555276	vps41	ENSACAG00000017617	VPS41	-
ASU_Acar_G.10188	100562759	LOC100562759	-	-	-
ASU_Acar_G.10189	100553918	stam	ENSACAG00000005258	STAM	-
ASU_Acar_G.1019	100558985	LOC100558985	ENSACAG00000000064	SPTY2D1	-
ASU_Acar_G.10190	-	-	-	-	-
ASU_Acar_G.10191	100555542	LOC100555542	-	-	-
ASU_Acar_G.10192	-	-	-	-	-
ASU_Acar_G.10193	100567269	hgsnat	ENSACAG00000009173	HGSNAT	-
ASU_Acar_G.10194	100564594	LOC100564594	ENSACAG00000013679	MLX	-
ASU_Acar_G.10195	100558684	LOC100558684	ENSACAG00000017407	MYL4	-
ASU_Acar_G.10196	100557431	LOC100557431	ENSACAG00000015660	CYP51A1	-
ASU_Acar_G.10197	-	-	-	-	-
ASU_Acar_G.10198	-	-	ENSACAG00000009062	ALG2	-
ASU_Acar_G.10199	-	-	-	-	choline transporter-like protein 1-like
ASU_Acar_G.102	-	-	-	-	zinc finger protein 135-like
ASU_Acar_G.1020	100557737	LOC100557737	ENSACAG00000017326	IBTK	-
ASU_Acar_G.10200	-	-	-	-	-
ASU_Acar_G.10201	100560068	LOC100560068	ENSACAG00000003285	ZPBP2	-
ASU_Acar_G.10202	100559074	LOC100559074	ENSACAG00000022058	GPR141	-
ASU_Acar_G.10203	100551879	LOC100551879	ENSACAG00000002353	IGKC	-
ASU_Acar_G.10204	100568115	LOC100568115	ENSACAG00000009525	PLEKHG4B	-
ASU_Acar_G.10205	-	-	-	-	uhrf1-binding protein 1-like
ASU_Acar_G.10206	100560069	LOC100560069	ENSACAG00000007637	EFTUD2	-
ASU_Acar_G.10207	100553322	LOC100553322	ENSACAG00000013511	IFI35	-
ASU_Acar_G.10208	100560854	LOC100560854	ENSACAG00000003100	FAM198A	-
ASU_Acar_G.10209	100558413	LOC100558413	ENSACAG00000007850	HIGD1B	-
ASU_Acar_G.1021	-	-	-	-	-
ASU_Acar_G.10210	100564727	LOC100564727	ENSACAG00000017469	STAC2	-
ASU_Acar_G.10211	-	-	-	-	-
ASU_Acar_G.10212	100553448	galnt1	ENSACAG00000006843	GALNT1	-
ASU_Acar_G.10213	100555215	LOC100555215	ENSACAG00000016584	NSF	-
ASU_Acar_G.10214	100558806	LOC100558806	ENSACAG00000012904	HEPACAM2	-
ASU_Acar_G.10215	100563154	LOC100563154	ENSACAG00000005601	GARS	-
ASU_Acar_G.10216	100563346	LOC100563346	ENSACAG00000005741	CRHR2	-
ASU_Acar_G.10217	100557233	LOC100557233	ENSACAG00000011060	SHH	-
ASU_Acar_G.10218	100563279	LOC100563279	ENSACAG00000016625	FAM188A	-
ASU_Acar_G.10219	100561570	LOC100561570	ENSACAG00000009859	OXSR1	-
ASU_Acar_G.1022	-	-	-	-	-
ASU_Acar_G.10220	100558152	ubtf	ENSACAG00000017186	UBTF	-
ASU_Acar_G.10221	100567267	LOC100567267	ENSACAG00000015360	EFCAB1	-
ASU_Acar_G.10222	100561448	LOC100561448	ENSACAG00000002737	SH3BP5	-
ASU_Acar_G.10223	100554495	LOC100554495	ENSACAG00000010707	DPP6	-
ASU_Acar_G.10224	100553382	LOC100553382	ENSACAG00000004966	SLC35B1	-
ASU_Acar_G.10225	100556784	galntl2	ENSACAG00000007710	GALNTL2	-
ASU_Acar_G.10226	100563413	LOC100563413	ENSACAG00000014188	GLRX5	-
ASU_Acar_G.10227	100560855	LOC100560855	ENSACAG00000017546	C7orf25	-
ASU_Acar_G.10228	100554498	LOC100554498	ENSACAG00000013300	ARL4D	-
ASU_Acar_G.10229	100567862	fbxo47	ENSACAG00000014090	FBXO47	-
ASU_Acar_G.1023	-	-	-	-	-
ASU_Acar_G.10230	100564526	LOC100564526	ENSACAG00000017422	CACNB1	-
ASU_Acar_G.10231	100554883	LOC100554883	ENSACAG00000011088	RNF32	-
ASU_Acar_G.10232	100558218	mybpc2	ENSACAG00000012342	MYBPC2	-
ASU_Acar_G.10233	100564004	LOC100564004	ENSACAG00000007921	ADCY1	-
ASU_Acar_G.10234	-	-	-	-	-
ASU_Acar_G.10235	100565513	stard3	ENSACAG00000003823	STARD3	-
ASU_Acar_G.10236	-	-	-	-	-
ASU_Acar_G.10237	100563082	LOC100563082	ENSACAG00000016661	PTER	-
ASU_Acar_G.10238	100565710	LOC100565710	ENSACAG00000003800	PNMT	-
ASU_Acar_G.10239	100552859	LOC100552859	ENSACAG00000006923	ARF1	-
ASU_Acar_G.1024	100557072	LOC100557072	ENSACAG00000010491	PUM2	-
ASU_Acar_G.10240	100563734	LOC100563734	ENSACAG00000005849	GHRHR	-
ASU_Acar_G.10241	-	-	-	-	-
ASU_Acar_G.10242	100566371	LOC100566371	ENSACAG00000017939	PTRF	-
ASU_Acar_G.10243	100560586	LOC100560586	ENSACAG00000009079	INTS10	-
ASU_Acar_G.10244	100567530	LOC100567530	ENSACAG00000007343	MRPL45	-
ASU_Acar_G.10245	100552201	LOC100552201	ENSACAG00000006352	CALCOCO2	-
ASU_Acar_G.10246	100553718	eepd1	ENSACAG00000007322	EEPD1	-
ASU_Acar_G.10247	-	-	-	-	integrin alpha-3-like
ASU_Acar_G.10248	100554360	LOC100554360	ENSACAG00000007757	OXNAD1	-
ASU_Acar_G.10249	100563669	LOC100563669	ENSACAG00000012485	-	-
ASU_Acar_G.1025	-	-	-	-	-
ASU_Acar_G.10250	100553850	LOC100553850	ENSACAG00000011440	EPGN	-
ASU_Acar_G.10251	100566311	LOC100566311	ENSACAG00000013334	-	-
ASU_Acar_G.10252	100565317	LOC100565317	-	-	-
ASU_Acar_G.10253	-	-	-	-	retrotransposable element tf2 155 kda protein type 1-like
ASU_Acar_G.10254	-	-	-	-	-
ASU_Acar_G.10255	100552596	LOC100552596	ENSACAG00000006165	-	-
ASU_Acar_G.10256	100566752	stat5b	ENSACAG00000017951	-	-
ASU_Acar_G.10257	100557368	LOC100557368	ENSACAG00000013598	G6PC	-
ASU_Acar_G.10258	100555214	LOC100555214	ENSACAG00000010167	DCLK3	-
ASU_Acar_G.10259	100552199	LOC100552199	-	-	-
ASU_Acar_G.1026	100556558	LOC100556558	ENSACAG00000014581	SYT13	-
ASU_Acar_G.10260	100552333	LOC100552333	ENSACAG00000014180	DYNC1I1	-
ASU_Acar_G.10261	100563084	LOC100563084	ENSACAG00000016060	KRT222	-
ASU_Acar_G.10262	-	-	-	-	gap junction delta-3
ASU_Acar_G.10263	100565711	LOC100565711	ENSACAG00000005084	COL1A1	-
ASU_Acar_G.10264	100562626	LOC100562626	ENSACAG00000017381	TPK1	-
ASU_Acar_G.10265	100560715	LOC100560715	ENSACAG00000002292	VIPR2	-
ASU_Acar_G.10266	100555018	LOC100555018	ENSACAG00000016508	PSMD11	-
ASU_Acar_G.10267	100555145	LOC100555145	ENSACAG00000004803	SOST	-
ASU_Acar_G.10268	-	-	-	-	zinc finger protein 135-like
ASU_Acar_G.10269	100554168	actr3b	ENSACAG00000010629	-	-
ASU_Acar_G.1027	100553229	clip4	ENSACAG00000009120	CLIP4	-
ASU_Acar_G.10270	-	-	-	-	-
ASU_Acar_G.10271	100561250	hnrnpa2b1	ENSACAG00000012992	HNRNPA2B1	-
ASU_Acar_G.10272	100553849	LOC100553849	ENSACAG00000006774	RPRD1A	-
ASU_Acar_G.10273	100559989	LOC100559989	-	-	-
ASU_Acar_G.10274	100556199	LOC100556199	ENSACAG00000017962	KAT2A	-
ASU_Acar_G.10275	-	-	-	-	-
ASU_Acar_G.10276	100562231	LOC100562231	ENSACAG00000017406	EGFR	-
ASU_Acar_G.10277	-	-	ENSACAG00000011105	-	-
ASU_Acar_G.10278	100558808	LOC100558808	ENSACAG00000012743	PNKP	-
ASU_Acar_G.10279	100552531	LOC100552531	ENSACAG00000007096	MOCOS	-
ASU_Acar_G.1028	100562994	LOC100562994	ENSACAG00000022395	-	-
ASU_Acar_G.10280	100558878	anln	ENSACAG00000003566	ANLN	-
ASU_Acar_G.10281	-	-	-	-	rac-gamma serine threonine-protein kinase-like
ASU_Acar_G.10282	-	-	-	-	-
ASU_Acar_G.10283	-	-	-	-	-
ASU_Acar_G.10284	100566306	LOC100566306	ENSACAG00000006865	OBSCN	-
ASU_Acar_G.10285	100557502	LOC100557502	ENSACAG00000009290	RP9	-
ASU_Acar_G.10286	100567141	LOC100567141	ENSACAG00000009250	COL15A1	-
ASU_Acar_G.10287	-	-	ENSACAG00000009573	CCDC127	-
ASU_Acar_G.10288	100567401	LOC100567401	ENSACAG00000003994	DDX42	-
ASU_Acar_G.10289	100566687	LOC100566687	ENSACAG00000011331	-	-
ASU_Acar_G.1029	100564832	LOC100564832	-	-	-
ASU_Acar_G.10290	100557823	LOC100557823	ENSACAG00000011443	-	-
ASU_Acar_G.10291	-	-	-	-	-
ASU_Acar_G.10292	100561767	LOC100561767	ENSACAG00000009971	MYD88	-
ASU_Acar_G.10293	100559598	LOC100559598	ENSACAG00000000928	ACBD4	-
ASU_Acar_G.10294	-	-	-	-	-
ASU_Acar_G.10295	100561253	LOC100561253	ENSACAG00000002898	THRA	-
ASU_Acar_G.10296	100553063	LOC100553063	-	-	-
ASU_Acar_G.10297	100551879	LOC100551879	-	-	-
ASU_Acar_G.10298	100565049	mastl	ENSACAG00000008039	MASTL	-
ASU_Acar_G.10299	100556520	LOC100556520	ENSACAG00000004570	G6PC3	-
ASU_Acar_G.103	100565808	dtx4	ENSACAG00000006730	DTX4	-
ASU_Acar_G.1030	100553552	LOC100553552	ENSACAG00000002062	FHL5	-
ASU_Acar_G.10300	100558613	LOC100558613	ENSACAG00000012639	RUVBL2	-
ASU_Acar_G.10301	100554751	LOC100554751	ENSACAG00000004948	TMEM101	-
ASU_Acar_G.10302	100560584	ttc21a	ENSACAG00000009574	TTC21A	-
ASU_Acar_G.10303	-	-	ENSACAG00000022624	-	-
ASU_Acar_G.10304	100560655	LOC100560655	ENSACAG00000013076	CYCS	-
ASU_Acar_G.10305	100557699	LOC100557699	ENSACAG00000012050	JOSD2	-
ASU_Acar_G.10306	100557233	LOC100557233	ENSACAG00000011060	SHH	-
ASU_Acar_G.10307	-	-	-	-	-
ASU_Acar_G.10308	100561055	LOC100561055	ENSACAG00000006534	SKAP1	-
ASU_Acar_G.10309	100552075	LOC100552075	-	-	-
ASU_Acar_G.1031	100566655	LOC100566655	-	-	-
ASU_Acar_G.10310	-	-	-	-	uhrf1-binding protein 1-like
ASU_Acar_G.10311	-	-	ENSACAG00000024626	-	-
ASU_Acar_G.10312	100557958	LOC100557958	ENSACAG00000007079	TBKBP1	-
ASU_Acar_G.10313	100561177	slc25a13	ENSACAG00000014580	SLC25A13	-
ASU_Acar_G.10314	100561502	LOC100561502	-	-	-
ASU_Acar_G.10315	100566110	LOC100566110	ENSACAG00000003485	MIEN1	-
ASU_Acar_G.10316	100563024	LOC100563024	ENSACAG00000013756	-	-
ASU_Acar_G.10317	100559532	LOC100559532	ENSACAG00000013892	WNK4	-
ASU_Acar_G.10318	100557565	plekha8	ENSACAG00000000988	PLEKHA8	-
ASU_Acar_G.10319	-	-	-	-	PREDICTED: hypothetical protein
ASU_Acar_G.1032	-	-	-	-	low quality protein: formin-2-like
ASU_Acar_G.10320	100555998	LOC100555998	ENSACAG00000000018	EFHB	-
ASU_Acar_G.10321	100555803	kat2b	ENSACAG00000000015	KAT2B	-
ASU_Acar_G.10322	100567271	LOC100567271	ENSACAG00000027532	PRR12	-
ASU_Acar_G.10323	100559400	LOC100559400	ENSACAG00000013275	TFPI2	-
ASU_Acar_G.10324	100337549	LOC100337549	ENSACAG00000015803	B6Z1W2_ANOCA	-
ASU_Acar_G.10325	100564132	znf652	ENSACAG00000006063	ZNF652	-
ASU_Acar_G.10326	100559334	LOC100559334	ENSACAG00000012522	GPATCH8	-
ASU_Acar_G.10327	-	-	-	-	uhrf1-binding protein 1-like
ASU_Acar_G.10328	-	-	-	-	-
