ASU_Acar ID	RefSeq Gene Description	ASU_Acar Sequence Length (bp)	Best RefSeq Hit Description	NCBI RefSeq ID	E-Value	Percent Similarity	Blast Score	Alignment Length (amino acids)	Positives Matches (amino acids)
ASU.Acar.G.11126	zinc transporter zip11	62	gi|363740879|ref|XP_001234802.2|PREDICTED: zinc transporter ZIP11 [Gallus gallus]	XP_001234802	5.45633E-4	61	43.8986	44	27	
ASU.Acar.G.11175	tyrosine-protein phosphatase non-receptor type 1	225	gi|45382391|ref|NP_990206.1|tyrosine-protein phosphatase non-receptor type 1 [Gallus gallus]	NP_990206	9.69934E-42	94	171.014	89	84	
ASU.Acar.G.11246	protein casc5	2079	gi|296214179|ref|XP_002753644.1|PREDICTED: protein CASC5 [Callithrix jacchus]	XP_002753644	2.82121E-64	40	249.98	1799	724	
ASU.Acar.G.11333	galectin-related protein a-like	146	gi|326920578|ref|XP_003206546.1|PREDICTED: galectin-related protein A-like [Meleagris gallopavo]	XP_003206546	1.26214E-49	78	195.667	145	114	
ASU.Acar.G.11463	immunoglobulin superfamily member 1 isoform 2	334	gi|297304793|ref|XP_002806443.1|PREDICTED: immunoglobulin superfamily member 1 isoform 2 [Macaca mulatta]	XP_002806443	6.9996E-12	45	72.7886	165	75	
ASU.Acar.G.11464	c-jun-amino-terminal kinase-interacting protein 4-like	587	gi|301621328|ref|XP_002940009.1|PREDICTED: c-Jun-amino-terminal kinase-interacting protein 4-like [Xenopus (Silurana) tropicalis]	XP_002940009	8.78756E-137	63	488.804	566	357	
ASU.Acar.G.11466	c-jun-amino-terminal kinase-interacting protein 4-like	136	gi|301621328|ref|XP_002940009.1|PREDICTED: c-Jun-amino-terminal kinase-interacting protein 4-like [Xenopus (Silurana) tropicalis]	XP_002940009	8.19765E-29	74	126.331	104	77	
ASU.Acar.G.11502	nuclease harbi1-like	451	gi|326667245|ref|XP_003198536.1|PREDICTED: putative nuclease HARBI1-like [Danio rerio]	XP_003198536	9.22169E-64	57	245.743	349	199	
ASU.Acar.G.11517	PREDICTED: hypothetical protein LOC100561123 [Anolis carolinensis]	164	gi|327281562|ref|XP_003225516.1|PREDICTED: hypothetical protein LOC100561123 [Anolis carolinensis]	XP_003225516	2.05429E-5	47	49.2914	136	64	
ASU.Acar.G.11538	uhrf1-binding protein 1-like	154	gi|327271319|ref|XP_003220435.1|PREDICTED: UHRF1-binding protein 1-like [Anolis carolinensis]	XP_003220435	1.05493E-31	74	136.346	119	89	
ASU.Acar.G.11541	zinc finger protein 483-like	491	gi|327266606|ref|XP_003218095.1|PREDICTED: hypothetical protein LOC100566605 [Anolis carolinensis]	XP_003218095	7.60455E-75	55	282.722	422	233	
ASU.Acar.G.1160	protein kti12 homolog	296	gi|118094549|ref|XP_422471.2|PREDICTED: protein KTI12 homolog [Gallus gallus]	XP_422471	2.2651E-24	58	114.005	143	83	
ASU.Acar.G.11642	thyroid adenoma-associated protein homolog	1388	gi|363740123|ref|XP_415215.3|PREDICTED: thyroid adenoma-associated protein homolog [Gallus gallus]	XP_415215	0.0	66	1316.6	1365	909	
ASU.Acar.G.11686	inactive phospholipase d5	63	gi|326915476|ref|XP_003204043.1|PREDICTED: inactive phospholipase D5-like [Meleagris gallopavo]	XP_003204043	1.52382E-22	88	105.531	63	56	
ASU.Acar.G.11793	low quality protein: b-lymphocyte antigen cd19-like	482	gi|338712771|ref|XP_001915903.2|PREDICTED: LOW QUALITY PROTEIN: b-lymphocyte antigen CD19-like [Equus caballus]	XP_001915903	1.32749E-23	41	112.464	400	167	
ASU.Acar.G.11880	jtap- partial	582	gi|363738039|ref|XP_001232733.2|PREDICTED: uncharacterized protein LOC769451 [Gallus gallus]	XP_001232733	8.4038E-23	43	110.153	346	152	
ASU.Acar.G.11885	PREDICTED: uncharacterized protein LOC427552 [Gallus gallus]	313	gi|363738294|ref|XP_425124.3|PREDICTED: uncharacterized protein LOC427552 [Gallus gallus]	XP_425124	3.59036E-23	47	110.153	259	123	
ASU.Acar.G.12082	endonuclease flj39025-like	692	gi|327264716|ref|XP_003217157.1|PREDICTED: putative endonuclease FLJ39025-like [Anolis carolinensis]	XP_003217157	2.59541E-74	69	281.567	248	173	
ASU.Acar.G.12097	PREDICTED: hypothetical protein LOC100561713 [Anolis carolinensis]	86	gi|327281733|ref|XP_003225601.1|PREDICTED: hypothetical protein LOC100561713 [Anolis carolinensis]	XP_003225601	6.12097E-24	72	110.153	83	60	
ASU.Acar.G.12100	PREDICTED: hypothetical protein LOC100561713 [Anolis carolinensis]	85	gi|327281733|ref|XP_003225601.1|PREDICTED: hypothetical protein LOC100561713 [Anolis carolinensis]	XP_003225601	9.12418E-36	83	149.443	85	71	
ASU.Acar.G.12166	uhrf1-binding protein 1-like	511	gi|327271319|ref|XP_003220435.1|PREDICTED: UHRF1-binding protein 1-like [Anolis carolinensis]	XP_003220435	0.0	81	740.725	500	405	
ASU.Acar.G.12213	pyruvate dehydrogenase component x	300	gi|71894701|ref|NP_001026358.1|pyruvate dehydrogenase complex, component X [Gallus gallus]	NP_001026358	2.15877E-38	58	160.614	215	125	
ASU.Acar.G.12260	low quality protein: titin	448	gi|363735918|ref|XP_421979.3|PREDICTED: titin [Gallus gallus]	XP_421979	0.0	90	731.865	443	403	
ASU.Acar.G.12358	gtp cyclohydrolase 1-like	53	gi|296215067|ref|XP_002753971.1|PREDICTED: GTP cyclohydrolase 1-like [Callithrix jacchus]	XP_002753971	9.38561E-17	100	86.2705	40	40	
ASU.Acar.G.12375	zinc finger protein 224-like	190	gi|327286138|ref|XP_003227788.1|PREDICTED: zinc finger protein 224-like [Anolis carolinensis]	XP_003227788	5.52792E-36	61	151.369	191	117	
ASU.Acar.G.12393	transcriptional adapter 2-alpha-like	229	gi|327284688|ref|XP_003227068.1|PREDICTED: transcriptional adapter 2-alpha-like [Anolis carolinensis]	XP_003227068	4.11361E-19	59	95.9005	128	76	
ASU.Acar.G.12397	c-c chemokine receptor type 4-like	190	gi|297303213|ref|XP_002806154.1|PREDICTED: hypothetical protein LOC100430013 [Macaca mulatta]	XP_002806154	7.25325E-20	51	97.8265	181	93	
ASU.Acar.G.12408	interleukin-12 receptor subunit beta-2-like	178	gi|363736861|ref|XP_422534.3|PREDICTED: LOW QUALITY PROTEIN: interleukin-12 receptor subunit beta-2 [Gallus gallus]	XP_422534	2.12766E-20	50	99.3673	174	87	
ASU.Acar.G.12443	immunoglobulin superfamily member 1 isoform 2	323	gi|338729575|ref|XP_003365928.1|PREDICTED: immunoglobulin superfamily member 1 isoform 2 [Equus caballus]	XP_003365928	1.9304E-11	45	71.2478	214	97	
ASU.Acar.G.12498	zinc finger protein 658-like	490	gi|327288672|ref|XP_003229050.1|PREDICTED: hypothetical protein LOC100567032 [Anolis carolinensis]	XP_003229050	8.21599E-29	41	129.798	379	156	
ASU.Acar.G.12505	transcriptional adapter 2-alpha-like	288	gi|297303213|ref|XP_002806154.1|PREDICTED: hypothetical protein LOC100430013 [Macaca mulatta]	XP_002806154	4.39157E-25	48	116.316	251	121	
ASU.Acar.G.12511	c-c chemokine receptor type 4-like	252	gi|297303213|ref|XP_002806154.1|PREDICTED: hypothetical protein LOC100430013 [Macaca mulatta]	XP_002806154	9.15789E-26	51	118.242	223	114	
ASU.Acar.G.12624	uncharacterized protein LOC70458 [Mus musculus]	308	gi|71274188|ref|NP_899110.2|uncharacterized protein LOC70458 [Mus musculus]	NP_899110	7.50945E-34	46	145.591	301	141	
ASU.Acar.G.12672	doublecortin domain-containing protein 2c-like	99	gi|344280144|ref|XP_003411845.1|PREDICTED: hypothetical protein LOC100656014 [Loxodonta africana]	XP_003411845	5.76439E-30	79	130.183	89	71	
ASU.Acar.G.12726	carboxy-terminal kinesin 2-like	267	gi|327290711|ref|XP_003230065.1|PREDICTED: carboxy-terminal kinesin 2-like [Anolis carolinensis]	XP_003230065	1.62445E-31	82	137.502	92	76	
ASU.Acar.G.12806	pleckstrin homology domain-containing family a member 4-like	598	gi|194332609|ref|NP_001123793.1|uncharacterized protein LOC100170544 [Xenopus (Silurana) tropicalis]	NP_001123793	2.5771E-59	44	231.491	695	307	
ASU.Acar.G.12828	17-beta-hydroxysteroid dehydrogenase 14-like	237	gi|327283037|ref|XP_003226248.1|PREDICTED: 17-beta-hydroxysteroid dehydrogenase 14-like [Anolis carolinensis]	XP_003226248	5.77365E-88	81	324.709	221	180	
ASU.Acar.G.12946	glutamate receptor delta-1 subunit	263	gi|118092396|ref|XP_426488.2|PREDICTED: glutamate receptor delta-1 subunit [Gallus gallus]	XP_426488	1.06432E-128	98	460.299	243	239	
ASU.Acar.G.13060	retrotransposable element tf2 155 kda protein type 1-like	1093	gi|327280226|ref|XP_003224853.1|PREDICTED: retrotransposable element Tf2 155 kDa protein type 1-like [Anolis carolinensis]	XP_003224853	0.0	93	1398.26	746	701	
ASU.Acar.G.13073	retrotransposable element tf2 155 kda protein type 1-like	355	gi|327279160|ref|XP_003224325.1|PREDICTED: hypothetical protein LOC100567278 [Anolis carolinensis]	XP_003224325	1.40194E-106	75	387.497	290	220	
ASU.Acar.G.13315	low quality protein: epidermis-type lipoxygenase 3-like	211	gi|338711194|ref|XP_001504855.3|PREDICTED: LOW QUALITY PROTEIN: epidermis-type lipoxygenase 3 [Equus caballus]	XP_001504855	1.45037E-57	70	223.402	191	134	
ASU.Acar.G.13317	PREDICTED: hypothetical protein LOC100608845 [Pan troglodytes]	129	gi|332819986|ref|XP_003310467.1|PREDICTED: hypothetical protein LOC100608845 [Pan troglodytes]	XP_003310467	3.40869E-6	69	51.2174	49	34	
ASU.Acar.G.13412	rna-directed dna polymerase from mobile element jockey-like	408	gi|326672568|ref|XP_003199694.1|PREDICTED: RNA-directed DNA polymerase from mobile element jockey-like [Danio rerio]	XP_003199694	2.85672E-69	58	263.848	355	209	
ASU.Acar.G.13420	PREDICTED: uncharacterized protein C3orf32-like [Oreochromis niloticus]	157	gi|348520495|ref|XP_003447763.1|PREDICTED: uncharacterized protein C3orf32-like [Oreochromis niloticus]	XP_003447763	1.33206E-40	68	166.007	148	101	
ASU.Acar.G.13423	cc032 protein	151	gi|301613584|ref|XP_002936295.1|PREDICTED: uncharacterized protein C3orf32-like [Xenopus (Silurana) tropicalis]	XP_002936295	6.1388E-13	60	73.9442	89	54	
ASU.Acar.G.13455	nuclear mitotic apparatus protein 1	828	gi|301604204|ref|XP_002931766.1|PREDICTED: hypothetical protein LOC100493526 [Xenopus (Silurana) tropicalis]	XP_002931766	1.79465E-8	40	63.1586	286	117	
ASU.Acar.G.13475	zona pellucida sperm-binding protein 3	365	gi|82524354|ref|NP_001007180.2|uncharacterized protein LOC100007955 precursor [Danio rerio]	NP_001007180	1.31443E-14	45	82.0333	194	89	
ASU.Acar.G.13521	protein phosphatase 1 regulatory inhibitor subunit 3g	368	gi|223278393|ref|NP_001138587.1|putative protein phosphatase 1 regulatory inhibitor subunit 3G [Homo sapiens]	NP_001138587	1.41854E-24	55	115.161	137	76	
ASU.Acar.G.13559	endonuclease flj39025-like	511	gi|327264716|ref|XP_003217157.1|PREDICTED: putative endonuclease FLJ39025-like [Anolis carolinensis]	XP_003217157	4.71409E-67	64	256.914	243	157	
ASU.Acar.G.13563	type ii inositol- -trisphosphate 5-phosphatase-like	295	gi|334329216|ref|XP_003341198.1|PREDICTED: type II inositol-1,4,5-trisphosphate 5-phosphatase-like [Monodelphis domestica]	XP_003341198	6.76513E-29	46	129.028	203	95	
ASU.Acar.G.13619	PREDICTED: hypothetical protein LOC100563288 [Anolis carolinensis]	374	gi|327279450|ref|XP_003224469.1|PREDICTED: hypothetical protein LOC100563288 [Anolis carolinensis]	XP_003224469	1.50324E-138	98	493.812	254	251	
ASU.Acar.G.13652	zinc finger protein 420-like	214	gi|327284608|ref|XP_003227029.1|PREDICTED: zinc finger protein 420-like [Anolis carolinensis]	XP_003227029	4.44864E-54	71	211.846	201	144	
ASU.Acar.G.13671	zinc finger protein 420-like	285	gi|327284608|ref|XP_003227029.1|PREDICTED: zinc finger protein 420-like [Anolis carolinensis]	XP_003227029	4.24323E-81	66	302.368	288	191	
ASU.Acar.G.13697	mediator of dna damage checkpoint protein 1-like	126	gi|301620274|ref|XP_002939513.1|PREDICTED: hypothetical protein LOC100489926 [Xenopus (Silurana) tropicalis]	XP_002939513	1.02322E-31	79	135.961	99	79	
ASU.Acar.G.13758	leucine-rich repeat transmembrane neuronal protein 4-like	72	gi|334313479|ref|XP_001370698.2|PREDICTED: leucine-rich repeat transmembrane neuronal protein 4-like [Monodelphis domestica]	XP_001370698	1.10371E-33	95	142.51	73	70	
ASU.Acar.G.138	glutathione peroxidase 2	141	gi|372622386|ref|NP_001243244.1|glutathione peroxidase 2 [Xenopus (Silurana) tropicalis]	NP_001243244	8.87005E-63	88	239.195	141	125	
ASU.Acar.G.13839	coiled-coil domain-containing protein ensp00000299415-like	198	gi|109488767|ref|XP_001072700.1|PREDICTED: hypothetical protein [Rattus norvegicus]	XP_001072700	1.85722E-8	54	60.077	88	48	
ASU.Acar.G.13988	sperm-associated antigen 5	563	gi|363741307|ref|XP_001234950.2|PREDICTED: sperm-associated antigen 5-like [Gallus gallus]	XP_001234950	4.10676E-43	41	177.563	611	255	
ASU.Acar.G.14006	PREDICTED: myosin-Vb [Loxodonta africana]	211	gi|344269864|ref|XP_003406767.1|PREDICTED: myosin-Vb [Loxodonta africana]	XP_003406767	1.13331E-102	97	373.244	197	192	
ASU.Acar.G.14093	PREDICTED: uncharacterized protein C8orf42 homolog [Gallus gallus]	155	gi|118101650|ref|XP_429682.2|PREDICTED: uncharacterized protein C8orf42 homolog [Gallus gallus]	XP_429682	2.40609E-31	58	135.191	162	95	
ASU.Acar.G.14177	protein fam193b-like	60	gi|224067505|ref|XP_002193874.1|PREDICTED: similar to Uncharacterized protein KIAA1931 [Taeniopygia guttata]	XP_002193874	1.48864E-9	91	62.3882	36	33	
ASU.Acar.G.14234	lipoyltransferase mitochondrial-like	300	gi|296217068|ref|XP_002754867.1|PREDICTED: putative octanoyltransferase, mitochondrial-like [Callithrix jacchus]	XP_002754867	2.82599E-30	86	133.65	86	74	
ASU.Acar.G.14286	PREDICTED: hypothetical protein LOC100568140 [Anolis carolinensis]	125	gi|327285674|ref|XP_003227558.1|PREDICTED: hypothetical protein LOC100568140 [Anolis carolinensis]	XP_003227558	1.25088E-37	83	155.606	105	88	
ASU.Acar.G.14301	upf0583 protein c15orf59	54	gi|50752663|ref|XP_413700.1|PREDICTED: UPF0583 protein C15orf59 [Gallus gallus]	XP_413700	3.93518E-15	78	80.8777	61	48	
ASU.Acar.G.14312	calpain 5	139	gi|118085272|ref|XP_417278.2|PREDICTED: calpain-5 [Gallus gallus]	XP_417278	2.2616E-71	94	267.7	135	128	
ASU.Acar.G.14316	low quality protein: partial	150	gi|363740401|ref|XP_427028.3|PREDICTED: LOW QUALITY PROTEIN: whirlin, partial [Gallus gallus]	XP_427028	3.35171E-56	96	217.624	116	112	
ASU.Acar.G.14322	retinal homeobox protein rx-like	336	gi|344269405|ref|XP_003406543.1|PREDICTED: retinal homeobox protein Rx-like [Loxodonta africana]	XP_003406543	2.7786E-8	44	60.8474	198	88	
ASU.Acar.G.14497	protein mab-21-like 3	308	gi|118083484|ref|XP_001233579.1|PREDICTED: protein mab-21-like 3 [Gallus gallus]	XP_001233579	5.40666E-16	55	86.2705	120	66	
ASU.Acar.G.14574	PREDICTED: uncharacterized protein LOC770340 [Gallus gallus]	91	gi|118101976|ref|XP_001233681.1|PREDICTED: uncharacterized protein LOC770340 [Gallus gallus]	XP_001233681	2.3005E-23	72	108.227	97	70	
ASU.Acar.G.14575	PREDICTED: hypothetical protein [Rattus norvegicus]	443	gi|109483465|ref|XP_243842.4|PREDICTED: hypothetical protein [Rattus norvegicus]	XP_243842	1.81658E-56	51	221.476	414	215	
ASU.Acar.G.14597	probable cation-transporting atpase 13a5-like	126	gi|327286204|ref|XP_003227821.1|PREDICTED: probable cation-transporting ATPase 13A5-like [Anolis carolinensis]	XP_003227821	1.36698E-68	100	258.455	125	125	
ASU.Acar.G.14628	chloride intracellular channel 2	86	gi|224098194|ref|XP_002198603.1|PREDICTED: chloride intracellular channel 2 [Taeniopygia guttata]	XP_002198603	1.72497E-18	90	92.0485	54	49	
ASU.Acar.G.14650	zinc finger protein 268-like	202	gi|327291888|ref|XP_003230652.1|PREDICTED: zinc finger protein 268-like [Anolis carolinensis]	XP_003230652	9.31207E-88	84	323.553	190	161	
ASU.Acar.G.14652	zinc finger and scan domain-containing protein 2-like	751	gi|327286869|ref|XP_003228152.1|PREDICTED: zinc finger and SCAN domain-containing protein 2-like [Anolis carolinensis]	XP_003228152	1.68202E-58	47	229.18	444	212	
ASU.Acar.G.14653	zinc finger protein 167-like	220	gi|327266688|ref|XP_003218136.1|PREDICTED: zinc finger protein 167-like [Anolis carolinensis]	XP_003218136	1.37845E-45	64	183.726	194	126	
ASU.Acar.G.14654	zinc finger and scan domain-containing protein 21-like	262	gi|327286871|ref|XP_003228153.1|PREDICTED: zinc finger and SCAN domain-containing protein 21-like [Anolis carolinensis]	XP_003228153	2.7064E-108	76	392.504	286	218	
ASU.Acar.G.14680	zinc finger protein 629	303	gi|301778799|ref|XP_002924806.1|PREDICTED: zinc finger protein 629-like [Ailuropoda melanoleuca]	XP_002924806	8.82992E-72	75	271.552	203	154	
ASU.Acar.G.14692	collagen a3 precursor	268	gi|185135270|ref|NP_001117678.1|collagen a3(I) precursor [Oncorhynchus mykiss]	NP_001117678	8.45835E-4	55	45.4394	63	35	
ASU.Acar.G.14793	inner centromere	263	gi|326920286|ref|XP_003206405.1|PREDICTED: inner centromere protein-like [Meleagris gallopavo]	XP_003206405	2.86657E-49	52	196.438	263	137	
ASU.Acar.G.14820	transcription factor sox-7	78	gi|118089178|ref|XP_001234628.1|PREDICTED: transcription factor SOX-7 [Gallus gallus]	XP_001234628	2.22031E-13	97	75.0998	36	35	
ASU.Acar.G.14851	PREDICTED: hypothetical protein LOC100567846 [Anolis carolinensis]	516	gi|327266462|ref|XP_003218024.1|PREDICTED: hypothetical protein LOC100567846 [Anolis carolinensis]	XP_003218024	4.36961E-28	62	127.487	133	83	
ASU.Acar.G.14860	PREDICTED: hypothetical protein LOC100566517 [Anolis carolinensis]	620	gi|327286610|ref|XP_003228023.1|PREDICTED: hypothetical protein LOC100566517 [Anolis carolinensis]	XP_003228023	4.14313E-76	50	287.345	510	257	
ASU.Acar.G.14964	was wasl-interacting protein family member 1-like	374	gi|327283498|ref|XP_003226478.1|PREDICTED: WAS/WASL-interacting protein family member 1-like [Anolis carolinensis]	XP_003226478	1.82584E-43	78	177.948	133	105	
ASU.Acar.G.14967	PREDICTED: copia protein-like [Anolis carolinensis]	120	gi|327262629|ref|XP_003216126.1|PREDICTED: copia protein-like [Anolis carolinensis]	XP_003216126	1.27462E-13	56	75.8702	117	66	
ASU.Acar.G.15077	glutamate n-methyl d-aspartate 2a	602	gi|118098077|ref|XP_425252.2|PREDICTED: glutamate [NMDA] receptor subunit epsilon-1 [Gallus gallus]	XP_425252	0.0	77	770.0	613	474	
ASU.Acar.G.15220	low quality protein: protein casp-like	215	gi|296192313|ref|XP_002744025.1|PREDICTED: hypothetical protein LOC100388632 [Callithrix jacchus]	XP_002744025	1.09185E-100	89	366.696	219	195	
ASU.Acar.G.15241	exosome component 10	111	gi|71051605|ref|NP_001012748.1|exosome component 10 [Gallus gallus]	NP_001012748	3.65117E-24	66	110.923	111	74	
ASU.Acar.G.15242	exosome component 10 isoform 2	67	gi|126328720|ref|XP_001364275.1|PREDICTED: exosome component 10 isoform 2 [Monodelphis domestica]	XP_001364275	1.36672E-23	96	108.997	58	56	
ASU.Acar.G.15282	zinc finger protein 502-like	363	gi|363740633|ref|XP_003642357.1|PREDICTED: zinc finger protein 502-like [Gallus gallus]	XP_003642357	2.99121E-27	38	124.02	326	125	
ASU.Acar.G.15285	zinc finger protein 777	344	gi|224044497|ref|XP_002191287.1|PREDICTED: similar to zinc finger protein 777 [Taeniopygia guttata]	XP_002191287	2.60149E-17	47	90.8929	162	77	
ASU.Acar.G.15306	PREDICTED: hypothetical protein LOC100558308 [Anolis carolinensis]	320	gi|327287330|ref|XP_003228382.1|PREDICTED: hypothetical protein LOC100558308 [Anolis carolinensis]	XP_003228382	6.66938E-57	62	222.246	314	197	
ASU.Acar.G.15310	uhrf1-binding protein 1-like	188	gi|327271319|ref|XP_003220435.1|PREDICTED: UHRF1-binding protein 1-like [Anolis carolinensis]	XP_003220435	8.68764E-50	82	197.208	141	116	
ASU.Acar.G.15437	tumor necrosis factor receptor superfamily member 18 precursor	77	gi|71894881|ref|NP_001026045.1|tumor necrosis factor receptor superfamily member 18 precursor [Gallus gallus]	NP_001026045	7.66527E-6	55	50.0618	76	42	
ASU.Acar.G.15460	PREDICTED: hypothetical protein LOC100391386 [Callithrix jacchus]	161	gi|296219350|ref|XP_002755823.1|PREDICTED: hypothetical protein LOC100391386 [Callithrix jacchus]	XP_002755823	1.80546E-11	88	69.3218	43	38	
ASU.Acar.G.15461	solute carrier family 9 (sodium hydrogen exchanger) member 3 regulator 2	73	gi|326929090|ref|XP_003210704.1|PREDICTED: Na(+)/H(+) exchange regulatory cofactor NHE-RF2-like [Meleagris gallopavo]	XP_003210704	2.30182E-23	91	108.227	62	57	
ASU.Acar.G.15499	uhrf1-binding protein 1-like	178	gi|327271319|ref|XP_003220435.1|PREDICTED: UHRF1-binding protein 1-like [Anolis carolinensis]	XP_003220435	8.34739E-25	60	114.005	138	84	
ASU.Acar.G.15517	PREDICTED: hypothetical protein LOC100426155 [Macaca mulatta]	226	gi|297275847|ref|XP_002801079.1|PREDICTED: hypothetical protein LOC100426155 [Macaca mulatta]	XP_002801079	1.05572E-11	73	71.2478	57	42	
ASU.Acar.G.15535	coiled-coil domain-containing protein 149 isoform 2	187	gi|114593362|ref|XP_526540.2|PREDICTED: coiled-coil domain-containing protein 149 isoform 2 [Pan troglodytes]	XP_526540	2.65747E-59	97	228.794	120	117	
ASU.Acar.G.15569	integrin alpha-11	135	gi|332236004|ref|XP_003267196.1|PREDICTED: integrin alpha-11 [Nomascus leucogenys]	XP_003267196	3.79078E-50	92	197.208	112	104	
ASU.Acar.G.15713	PREDICTED: hypothetical protein LOC722159 [Macaca mulatta]	105	gi|297267562|ref|XP_001118345.2|PREDICTED: hypothetical protein LOC722159 [Macaca mulatta]	XP_001118345	2.93415E-10	58	64.6994	84	49	
ASU.Acar.G.15758	carcinoembryonic antigen-related cell adhesion molecule 3-like	177	gi|327288118|ref|XP_003228775.1|PREDICTED: hypothetical protein LOC100558043 [Anolis carolinensis]	XP_003228775	6.163E-44	67	177.563	175	118	
ASU.Acar.G.15784	zinc finger protein 850-like	656	gi|327291294|ref|XP_003230356.1|PREDICTED: zinc finger protein 850-like [Anolis carolinensis]	XP_003230356	1.91555E-103	70	378.252	323	228	
ASU.Acar.G.15788	zinc finger protein 850-like	400	gi|327291294|ref|XP_003230356.1|PREDICTED: zinc finger protein 850-like [Anolis carolinensis]	XP_003230356	3.84668E-95	61	349.747	354	217	
ASU.Acar.G.15817	PREDICTED: hypothetical protein LOC100496327 [Xenopus (Silurana) tropicalis]	238	gi|301619049|ref|XP_002938926.1|PREDICTED: hypothetical protein LOC100496327 [Xenopus (Silurana) tropicalis]	XP_002938926	2.11459E-13	51	77.0258	204	106	
