ASU Unmapped Transcript ID	RefSeq Gene Description	ASU_Acar Sequence Length (bp)	Best RefSeq Hit Description	NCBI RefSeq ID	E-Value	Percent Similarity	Blast Score	Alignment Length (amino acids)	Positives Matches (amino acids)
a10039	PREDICTED: uncharacterized protein C19orf71 homolog [Sus scrofa]	690	gi|311248338|ref|XP_003123092.1|PREDICTED: uncharacterized protein C19orf71 homolog [Sus scrofa]	XP_003123092	6.55429E-42	63	171.785	190	120	
a10045	natriuretic peptides b precursor	1786	gi|348533640|ref|XP_003454313.1|PREDICTED: natriuretic peptides A-like [Oreochromis niloticus]	XP_003454313	1.84875E-42	80	175.637	144	116	
a100504	c-1-tetrahydrofolate cytoplasmic	497	gi|327259006|ref|XP_003214329.1|PREDICTED: c-1-tetrahydrofolate synthase, cytoplasmic-like [Anolis carolinensis]	XP_003214329	1.34242E-61	100	236.113	119	119	
a10051	14-3-3 protein gamma	568	gi|348505282|ref|XP_003440190.1|PREDICTED: 14-3-3 protein gamma-B-like [Oreochromis niloticus]	XP_003440190	1.28362E-102	100	372.859	188	188	
a10052	tumor-associated calcium signal transducer 2-like	696	gi|348529736|ref|XP_003452369.1|PREDICTED: tumor-associated calcium signal transducer 2-like [Oreochromis niloticus]	XP_003452369	3.44952E-91	82	335.495	214	176	
a10054	creatine kinase b-type	710	gi|348520642|ref|XP_003447836.1|PREDICTED: creatine kinase, testis isozyme-like [Oreochromis niloticus]	XP_003447836	7.26083E-92	98	337.806	184	181	
a10057	ornithine decarboxylase antizyme 1	961	gi|348532841|ref|XP_003453914.1|PREDICTED: LOW QUALITY PROTEIN: ornithine decarboxylase antizyme 2-like [Oreochromis niloticus]	XP_003453914	7.88254E-83	100	308.531	150	150	
a10058	a-kinase anchor protein 4-like	1530	gi|41386786|ref|NP_776660.1|A-kinase anchor protein 4 [Bos taurus]	NP_776660	1.64246E-20	52	102.449	186	98	
a10065	lysine-specific demethylase 6b	1089	gi|109113149|ref|XP_001110616.1|PREDICTED: lysine-specific demethylase 6B-like [Macaca mulatta]	XP_001110616	2.46591E-6	49	54.6842	67	33	
a10067	osteocrin-like	678	gi|301609046|ref|XP_002934095.1|PREDICTED: osteocrin-like [Xenopus (Silurana) tropicalis]	XP_002934095	4.70738E-21	59	102.449	105	62	
a10071	nascent polypeptide-associated complex subunit alpha	864	gi|348502935|ref|XP_003439022.1|PREDICTED: nascent polypeptide-associated complex subunit alpha [Oreochromis niloticus]	XP_003439022	5.11049E-75	100	282.337	215	215	
a10073	golgin subfamily a member 6-like protein 1-like isoform 1	1004	gi|297715103|ref|XP_002833935.1|PREDICTED: hypothetical protein LOC100444255 [Pongo abelii]	XP_002833935	5.76778E-7	53	56.6102	176	95	
a10081	tropomodulin-4	827	gi|348525612|ref|XP_003450316.1|PREDICTED: tropomodulin-4-like [Oreochromis niloticus]	XP_003450316	8.5011E-133	90	474.167	270	244	
a10092	60s ribosomal protein l27a-like	508	gi|348535950|ref|XP_003455460.1|PREDICTED: 60S ribosomal protein L27a-like [Oreochromis niloticus]	XP_003455460	2.95374E-67	99	254.988	148	147	
a10095	60s ribosomal protein l28	486	gi|348528009|ref|XP_003451511.1|PREDICTED: 60S ribosomal protein L28-like isoform 2 [Oreochromis niloticus]	XP_003451511	1.67866E-50	85	199.134	123	105	
a100978	solute carrier family 12 member 9-like	429	gi|148224760|ref|NP_001090251.1|solute carrier family 12 member 9 [Xenopus laevis]	NP_001090251	8.15523E-17	95	86.6557	45	43	
a10099	chorion-specific transcription factor gcma	1466	gi|334323998|ref|XP_001370898.2|PREDICTED: chorion-specific transcription factor GCMa-like [Monodelphis domestica]	XP_001370898	2.71453E-49	54	197.978	303	166	
a10107	PREDICTED: uncharacterized protein C7orf43 homolog [Nomascus leucogenys]	771	gi|332258159|ref|XP_003278167.1|PREDICTED: uncharacterized protein C7orf43 homolog [Nomascus leucogenys]	XP_003278167	1.74013E-4	67	47.7506	34	23	
a10108	upf0539 protein c7orf59 homolog	725	gi|345311254|ref|XP_001513789.2|PREDICTED: UPF0539 protein C7orf59-like [Ornithorhynchus anatinus]	XP_001513789	7.71291E-28	78	125.176	93	73	
a101086	wash complex subunit fam21c	393	gi|348535776|ref|XP_003455374.1|PREDICTED: hypothetical protein LOC100701766 [Oreochromis niloticus]	XP_003455374	3.40946E-15	65	81.2629	84	55	
a1011	camp-dependent protein kinase catalytic subunit alpha	677	gi|50751398|ref|XP_422379.1|PREDICTED: cAMP-dependent protein kinase catalytic subunit beta [Gallus gallus]	XP_422379	3.44282E-64	99	245.743	119	118	
a10110	tyrosine-protein kinase zap-70	2150	gi|224087497|ref|XP_002191935.1|PREDICTED: zeta-chain (TCR) associated protein kinase 70kDa [Taeniopygia guttata]	XP_002191935	0.0	87	969.533	599	526	
a10120	hypothetical protein BRAFLDRAFT_66916 [Branchiostoma floridae]	1356	gi|260807471|ref|XP_002598532.1|hypothetical protein BRAFLDRAFT_66916 [Branchiostoma floridae]	XP_002598532	9.12313E-4	44	46.595	118	53	
a10128	myosin regulatory light chain skeletal muscle isoform type 2-like	539	gi|348542634|ref|XP_003458789.1|PREDICTED: myosin regulatory light chain 2, skeletal muscle isoform-like [Oreochromis niloticus]	XP_003458789	6.6282E-87	100	320.472	161	161	
a10130	guanine nucleotide-binding protein subunit beta-2-like 1	354	gi|348535475|ref|XP_003455226.1|PREDICTED: receptor for activated protein kinase C [Oreochromis niloticus]	XP_003455226	4.22515E-66	100	250.366	118	118	
a10132	uhrf1-binding protein 1-like	1105	gi|327271319|ref|XP_003220435.1|PREDICTED: UHRF1-binding protein 1-like [Anolis carolinensis]	XP_003220435	1.68487E-10	59	68.5514	62	37	
a10138	transgelin	620	gi|348523728|ref|XP_003449375.1|PREDICTED: transgelin-like isoform 2 [Oreochromis niloticus]	XP_003449375	1.02345E-53	98	210.69	108	106	
a10140	hemoglobin subunit beta-a-like isoform 1	680	gi|348509159|ref|XP_003442119.1|PREDICTED: hemoglobin subunit beta-A-like isoform 1 [Oreochromis niloticus]	XP_003442119	7.9741E-77	96	287.73	148	143	
a101400	sterol regulatory element-binding protein cleavage-activating protein	343	gi|363729720|ref|XP_001231540.2|PREDICTED: LOW QUALITY PROTEIN: sterol regulatory element-binding protein cleavage-activating protein [Gallus gallus]	XP_001231540	2.05956E-44	98	178.333	92	91	
a10148	PREDICTED: hypothetical protein LOC100690662 isoform 1 [Oreochromis niloticus]	347	gi|348524767|ref|XP_003449894.1|PREDICTED: hypothetical protein LOC100690662 isoform 1 [Oreochromis niloticus]	XP_003449894	1.0946E-21	84	102.834	94	79	
a10149	60s acidic ribosomal protein p2-like	377	gi|348532416|ref|XP_003453702.1|PREDICTED: 60S acidic ribosomal protein P2-like [Oreochromis niloticus]	XP_003453702	4.95481E-27	100	120.553	62	62	
a10151	middle subunit-like	984	gi|348517899|ref|XP_003446470.1|PREDICTED: ferritin, middle subunit-like isoform 1 [Oreochromis niloticus]	XP_003446470	5.61232E-100	100	365.54	176	176	
a10153	h-2 class i histocompatibility l-d alpha chain-like	1276	gi|348544027|ref|XP_003459483.1|PREDICTED: h-2 class I histocompatibility antigen, L-D alpha chain-like [Oreochromis niloticus]	XP_003459483	2.57969E-53	96	211.075	113	109	
a10156	shc-transforming protein 1	3578	gi|363742799|ref|XP_424373.3|PREDICTED: SHC-transforming protein 1 [Gallus gallus]	XP_424373	1.29595E-144	85	516.153	320	274	
a10165	myosin-binding protein h-like	1965	gi|348532430|ref|XP_003453709.1|PREDICTED: myosin-binding protein H-like [Oreochromis niloticus]	XP_003453709	0.0	94	774.622	412	390	
a10168	tubulin alpha-1c chain- partial	496	gi|363745875|ref|XP_003643448.1|PREDICTED: tubulin alpha-1C chain-like, partial [Gallus gallus]	XP_003643448	9.78679E-49	100	193.356	90	90	
a10169	PREDICTED: hypothetical protein LOC100553104 [Anolis carolinensis]	636	gi|327263792|ref|XP_003216701.1|PREDICTED: hypothetical protein LOC100553104 [Anolis carolinensis]	XP_003216701	5.25672E-8	75	58.9214	36	27	
a10174	abhydrolase domain-containing protein 1	5474	gi|354469344|ref|XP_003497089.1|PREDICTED: abhydrolase domain-containing protein 1 [Cricetulus griseus]	XP_003497089	4.08171E-60	72	236.113	197	143	
a10175	abhydrolase domain-containing protein 1	427	gi|56606090|ref|NP_001008520.1|abhydrolase domain-containing protein 1 [Rattus norvegicus]	NP_001008520	1.06526E-24	76	112.849	78	60	
a10177	brisc and brca1-a complex member 1	2207	gi|354473793|ref|XP_003499117.1|PREDICTED: BRISC and BRCA1-A complex member 1-like [Cricetulus griseus]	XP_003499117	6.42825E-96	88	353.599	212	187	
a10183	tubulin alpha-1c chain	491	gi|148225011|ref|NP_001091315.1|uncharacterized protein LOC100037141 [Xenopus laevis]	NP_001091315	5.76727E-78	100	290.426	145	145	
a10185	nad kinase	2072	gi|71894909|ref|NP_001026041.1|NAD kinase [Gallus gallus]	NP_001026041	4.75591E-178	95	626.32	364	346	
a10186	60s ribosomal protein l35-like	454	gi|148224674|ref|NP_001089607.1|ribosomal protein L35 [Xenopus laevis]	NP_001089607	1.01653E-45	82	182.956	123	101	
a10187	60s ribosomal protein l35-like	330	gi|348535170|ref|XP_003455074.1|PREDICTED: 60S ribosomal protein L35-like [Oreochromis niloticus]	XP_003455074	3.09286E-45	98	181.03	95	94	
a10190	PREDICTED: hypothetical protein LOC100553104 [Anolis carolinensis]	744	gi|327263792|ref|XP_003216701.1|PREDICTED: hypothetical protein LOC100553104 [Anolis carolinensis]	XP_003216701	1.93953E-5	66	50.8322	36	24	
a10191	t-box-containing protein tbx6l-like	2169	gi|71896329|ref|NP_001025538.1|T-box-containing protein TBX6L [Gallus gallus]	NP_001025538	1.62199E-51	88	206.068	118	105	
a10197	mid1 interacting protein 1 (gastrulation specific g12 homolog)	1334	gi|327268367|ref|XP_003218969.1|PREDICTED: mid1-interacting protein 1-like [Anolis carolinensis]	XP_003218969	3.61577E-13	100	77.7962	36	36	
a10203	pumilio domain-containing protein c14orf21-like	2502	gi|291403641|ref|XP_002718150.1|PREDICTED: hypothetical protein [Oryctolagus cuniculus]	XP_002718150	1.75845E-121	73	438.728	408	299	
a10209	glyceraldehyde-3-phosphate dehydrogenase	356	gi|348512396|ref|XP_003443729.1|PREDICTED: glyceraldehyde 3-phosphate dehydrogenase, testis-specific-like [Oreochromis niloticus]	XP_003443729	2.10175E-49	100	194.897	110	110	
a10214	40s ribosomal protein s20	329	gi|348545358|ref|XP_003460147.1|PREDICTED: 40S ribosomal protein S20-like [Oreochromis niloticus]	XP_003460147	3.91248E-40	100	164.081	81	81	
a10217	phosphatidylserine decarboxylase proenzyme-like	558	gi|126722757|ref|NP_796272.2|phosphatidylserine decarboxylase proenzyme [Mus musculus]	NP_796272	6.2666E-14	89	78.1814	46	41	
a10219	dna-directed rna polymerase ii subunit rpb9-like	1108	gi|350536729|ref|NP_001232494.1|putative DNA directed RNA polymerase II polypeptide I [Taeniopygia guttata]	NP_001232494	1.56523E-48	100	194.897	87	87	
a10221	immunoglobulin superfamily containing leucine-rich repeat protein	2650	gi|118095559|ref|XP_001233273.1|PREDICTED: immunoglobulin superfamily containing leucine-rich repeat protein [Gallus gallus]	XP_001233273	4.06201E-100	64	367.851	402	258	
a10234	serine threonine-protein phosphatase 6 catalytic subunit	3872	gi|338720519|ref|XP_003364184.1|PREDICTED: serine/threonine-protein phosphatase 6 catalytic subunit isoform 2 [Equus caballus]	XP_003364184	0.0	100	646.351	305	305	
a10238	40s ribosomal protein s19-like	505	gi|348526071|ref|XP_003450544.1|PREDICTED: 40S ribosomal protein S19-like [Oreochromis niloticus]	XP_003450544	1.63912E-78	100	292.352	146	146	
a10239	adm precursor	1915	gi|126332465|ref|XP_001379439.1|PREDICTED: ADM-like [Monodelphis domestica]	XP_001379439	1.40846E-19	58	99.7525	154	90	
a10241	40s ribosomal protein s3a-like	369	gi|348524428|ref|XP_003449725.1|PREDICTED: 40S ribosomal protein S3a-like [Oreochromis niloticus]	XP_003449725	1.54408E-44	100	178.718	109	109	
a10244	atp synthase subunit mitochondrial precursor	1172	gi|116325975|ref|NP_001070823.1|ATP synthase subunit alpha, mitochondrial [Danio rerio]	NP_001070823	3.30735E-161	97	569.311	307	299	
a10247	selenoprotein ja	598	gi|301601664|ref|NP_001180426.1|selenoprotein Ja [Salmo salar]	NP_001180426	5.2937E-97	92	354.369	198	184	
a10249	troponin fast skeletal muscle-like	489	gi|348503770|ref|XP_003439436.1|PREDICTED: troponin I, fast skeletal muscle-like [Oreochromis niloticus]	XP_003439436	1.64828E-69	96	262.307	140	135	
a10251	four-jointed box protein 1-like	1605	gi|126332581|ref|XP_001362754.1|PREDICTED: four-jointed box protein 1-like [Monodelphis domestica]	XP_001362754	1.75642E-105	65	384.8	365	239	
a10252	myosin light chain 6b-like	537	gi|348515637|ref|XP_003445346.1|PREDICTED: myosin light chain 1, skeletal muscle isoform-like [Oreochromis niloticus]	XP_003445346	1.5182E-51	99	202.986	103	102	
a10254	elongation factor 1-gamma	1330	gi|348514215|ref|XP_003444636.1|PREDICTED: elongation factor 1-gamma-like [Oreochromis niloticus]	XP_003444636	0.0	91	819.305	441	404	
a10258	zinc finger protein 135-like	1096	gi|348533007|ref|XP_003453997.1|PREDICTED: hypothetical protein LOC100710874 [Oreochromis niloticus]	XP_003453997	5.71934E-11	56	70.0922	104	59	
a10259	marcks-related protein	533	gi|348517527|ref|XP_003446285.1|PREDICTED: MARCKS-related protein-like [Oreochromis niloticus]	XP_003446285	3.89743E-31	96	135.191	113	109	
a10260	glutathione peroxidase 1	470	gi|372622380|ref|NP_001187670.2|glutathione peroxidase 1 [Ictalurus punctatus]	NP_001187670	7.65583E-50	93	196.823	107	100	
a10262	stathmin 1-like	681	gi|348512529|ref|XP_003443795.1|PREDICTED: stathmin-like [Oreochromis niloticus]	XP_003443795	1.04387E-68	90	260.766	152	138	
a10273	cytokine receptor-like factor 1-like	606	gi|363743896|ref|XP_003642939.1|PREDICTED: cytokine receptor-like factor 1-like [Gallus gallus]	XP_003642939	1.15168E-22	81	107.457	69	56	
a10275	translationally-controlled tumor protein	368	gi|348515661|ref|XP_003445358.1|PREDICTED: translationally-controlled tumor protein homolog [Oreochromis niloticus]	XP_003445358	5.69632E-31	79	133.65	99	79	
a10276	translationally-controlled tumor protein homolog	615	gi|348515661|ref|XP_003445358.1|PREDICTED: translationally-controlled tumor protein homolog [Oreochromis niloticus]	XP_003445358	4.38008E-25	85	115.546	76	65	
a10285	eukaryotic translation initiation factor 3 subunit e	371	gi|348532043|ref|XP_003453516.1|PREDICTED: eukaryotic translation initiation factor 3 subunit E-A-like [Oreochromis niloticus]	XP_003453516	2.88497E-67	99	254.218	123	122	
a10294	serologically defined colon cancer antigen 3	1219	gi|118099411|ref|XP_001235313.1|PREDICTED: serologically defined colon cancer antigen 3 [Gallus gallus]	XP_001235313	5.96405E-44	49	179.874	324	161	
a10307	alpha-enolase	490	gi|348514662|ref|XP_003444859.1|PREDICTED: alpha-enolase-like isoform 2 [Oreochromis niloticus]	XP_003444859	2.07062E-88	98	325.094	163	160	
a10309	glutathione peroxidase 3 precursor	357	gi|345307967|ref|XP_003428639.1|PREDICTED: LOW QUALITY PROTEIN: glutathione peroxidase 3-like [Ornithorhynchus anatinus]	XP_003428639	2.84059E-46	82	184.496	119	98	
a103105	kelch domain-containing protein 2-like	314	gi|326921273|ref|XP_003206886.1|PREDICTED: kelch domain-containing protein 2-like [Meleagris gallopavo]	XP_003206886	3.25247E-26	91	117.857	62	57	
a10314	leucine-rich repeat-containing protein 4	2874	gi|126340665|ref|XP_001366278.1|PREDICTED: leucine-rich repeat-containing protein 4 [Monodelphis domestica]	XP_001366278	0.0	84	893.649	630	531	
a10315	cleavage stimulation factor subunit 2	952	gi|57530169|ref|NP_001006433.1|cleavage stimulation factor subunit 2 [Gallus gallus]	NP_001006433	1.68666E-53	71	211.075	183	131	
a10321	PREDICTED: neurobeachin-like [Meleagris gallopavo]	2404	gi|326914236|ref|XP_003203432.1|PREDICTED: neurobeachin-like [Meleagris gallopavo]	XP_003203432	1.51651E-5	57	53.5286	78	45	
a10333	ph and sec7 domain-containing protein 4	748	gi|345309810|ref|XP_001521248.2|PREDICTED: PH and SEC7 domain-containing protein 4-like [Ornithorhynchus anatinus]	XP_001521248	4.39843E-50	79	199.134	145	115	
a10334	troponin slow skeletal muscle-like	338	gi|348514945|ref|XP_003445000.1|PREDICTED: troponin I, slow skeletal muscle-like [Oreochromis niloticus]	XP_003445000	1.10224E-21	97	102.834	69	67	
a10335	l-lactate dehydrogenase b chain	723	gi|348537186|ref|XP_003456076.1|PREDICTED: L-lactate dehydrogenase B chain-like [Oreochromis niloticus]	XP_003456076	8.04138E-86	99	317.775	159	158	
a10338	solute carrier family 22 member 23-like	887	gi|327279382|ref|XP_003224435.1|PREDICTED: solute carrier family 22 member 23-like [Anolis carolinensis]	XP_003224435	1.86006E-11	73	71.2478	57	42	
a10339	inactive phospholipase c-like protein 2-like	552	gi|327274925|ref|XP_003222225.1|PREDICTED: inactive phospholipase C-like protein 2-like [Anolis carolinensis]	XP_003222225	1.96285E-4	72	46.595	37	27	
a10341	induced myeloid leukemia cell differentiation protein mcl-1 homolog	724	gi|348525614|ref|XP_003450317.1|PREDICTED: induced myeloid leukemia cell differentiation protein Mcl-1 homolog [Oreochromis niloticus]	XP_003450317	7.12676E-42	86	171.785	104	90	
a10343	integral membrane protein 2a	925	gi|348536765|ref|XP_003455866.1|PREDICTED: integral membrane protein 2A-like [Oreochromis niloticus]	XP_003455866	3.74053E-135	97	482.256	246	240	
a103433	camp-dependent protein kinase type ii-alpha regulatory subunit-like	444	gi|363738693|ref|XP_003642054.1|PREDICTED: cAMP-dependent protein kinase type II-alpha regulatory subunit-like [Gallus gallus]	XP_003642054	2.3005E-60	87	231.491	149	130	
a10347	zinc finger protein 436-like	405	gi|327266692|ref|XP_003218138.1|PREDICTED: zinc finger protein 436-like [Anolis carolinensis]	XP_003218138	7.99981E-33	79	139.813	98	78	
a10352	glutathione s-transferase theta-1-like	968	gi|348538230|ref|XP_003456595.1|PREDICTED: glutathione S-transferase theta-1 [Oreochromis niloticus]	XP_003456595	5.27819E-111	98	402.134	208	204	
a10354	elongation factor 1-delta-like isoform 1	862	gi|348532171|ref|XP_003453580.1|PREDICTED: elongation factor 1-delta-like isoform 1 [Oreochromis niloticus]	XP_003453580	9.2789E-69	75	261.536	249	187	
a10356	heat shock cognate 71 kda	1123	gi|348522853|ref|XP_003448938.1|PREDICTED: heat shock cognate 71 kDa protein-like [Oreochromis niloticus]	XP_003448938	0.0	99	655.596	374	373	
a10362	carbonic anhydrase 6-like	826	gi|326932401|ref|XP_003212306.1|PREDICTED: carbonic anhydrase 6-like [Meleagris gallopavo]	XP_003212306	4.02465E-42	77	172.94	132	102	
a10363	carbonic anhydrase 6-like	847	gi|363741962|ref|XP_425745.3|PREDICTED: carbonic anhydrase 6 [Gallus gallus]	XP_425745	2.05993E-89	75	330.102	287	217	
a10368	rho gtpase-activating protein 30	700	gi|354489505|ref|XP_003506902.1|PREDICTED: rho GTPase-activating protein 30 [Cricetulus griseus]	XP_003506902	3.12044E-7	49	56.6102	113	56	
a10369	myosin heavy fast skeletal muscle	449	gi|239937537|ref|NP_001155228.1|myosin heavy chain [Oryzias latipes]	NP_001155228	1.4732E-57	95	222.246	149	143	
a103724	upf0505 protein c16orf62 homolog	463	gi|345305397|ref|XP_003428327.1|PREDICTED: UPF0505 protein C16orf62-like [Ornithorhynchus anatinus]	XP_003428327	1.47718E-71	90	268.855	154	139	
a10374	ubiquitin d-like	821	gi|350537609|ref|NP_001232766.1|putative ubiquitin C variant 14 [Taeniopygia guttata]	NP_001232766	7.45361E-81	100	301.597	153	153	
a10375	ubiquitin c	564	gi|118098426|ref|XP_415105.2|PREDICTED: polyubiquitin-B isoform 2 [Gallus gallus]	XP_415105	8.86987E-64	100	243.817	124	124	
a10379	3-hydroxybutyrate dehydrogenase type 2	946	gi|224049483|ref|XP_002196239.1|PREDICTED: 3-hydroxybutyrate dehydrogenase, type 2 [Taeniopygia guttata]	XP_002196239	8.47429E-90	92	331.643	202	186	
a10385	neuropeptide ff receptor 2-like	885	gi|327263792|ref|XP_003216701.1|PREDICTED: hypothetical protein LOC100553104 [Anolis carolinensis]	XP_003216701	1.4653E-8	75	61.6178	37	28	
a103854	calcium calmodulin-dependent protein kinase type ii subunit beta-like	488	gi|334312803|ref|XP_001370110.2|PREDICTED: calcium/calmodulin-dependent protein kinase type II subunit beta isoform 4 [Monodelphis domestica]	XP_001370110	1.73362E-10	87	66.2402	39	34	
a10388	ceramide synthase 4	2446	gi|118103053|ref|XP_418172.2|PREDICTED: ceramide synthase 4 [Gallus gallus]	XP_418172	7.38681E-141	85	503.056	341	290	
a10390	amino-terminal enhancer of split	1432	gi|6754072|ref|NP_034477.1|amino-terminal enhancer of split [Mus musculus]	NP_034477	6.40418E-80	97	299.671	197	193	
a10392	retinoic acid receptor responder (tazarotene induced) 1 precursor	1590	gi|327266936|ref|XP_003218259.1|PREDICTED: retinoic acid receptor responder protein 1-like [Anolis carolinensis]	XP_003218259	6.87246E-94	100	346.28	188	188	
a10404	nuclease-sensitive element-binding protein 1	1440	gi|157278086|ref|NP_001098143.1|Y-box binding protein [Oryzias latipes]	NP_001098143	2.08269E-70	87	268.085	310	272	
a10405	nuclease-sensitive element-binding protein 1	1440	gi|348514604|ref|XP_003444830.1|PREDICTED: B box-binding protein-like [Oreochromis niloticus]	XP_003444830	7.91421E-70	88	266.159	290	258	
a10408	e3 sumo-protein ligase pias3	4214	gi|327291422|ref|XP_003230420.1|PREDICTED: LOW QUALITY PROTEIN: e3 SUMO-protein ligase PIAS3-like [Anolis carolinensis]	XP_003230420	4.19775E-150	100	534.643	298	298	
a10414	lag1 longevity assurance homolog 1-like	1561	gi|334326722|ref|XP_001370468.2|PREDICTED: LAG1 longevity assurance homolog 1-like [Monodelphis domestica]	XP_001370468	2.63529E-90	74	334.339	348	259	
a10417	nicotinamide riboside kinase 2-like	1077	gi|224087923|ref|XP_002198794.1|PREDICTED: similar to Mibp protein [Taeniopygia guttata]	XP_002198794	1.04679E-25	80	119.013	82	66	
a10419	thioredoxin reductase mitochondrial	6282	gi|170015974|ref|NP_001116163.1|thioredoxin reductase 2, mitochondrial [Gallus gallus]	NP_001116163	0.0	89	838.18	500	449	
a10420	death-associated protein kinase 3	1813	gi|344306531|ref|XP_003421940.1|PREDICTED: death-associated protein kinase 3 [Loxodonta africana]	XP_003421940	0.0	82	649.432	449	369	
a10424	early growth response protein 1	2426	gi|124358912|ref|NP_001074426.1|early growth response protein 1 [Taeniopygia guttata]	NP_001074426	3.42491E-114	60	414.461	566	341	
a10432	probable e3 ubiquitin-protein ligase rnf217-like	1797	gi|363732291|ref|XP_423871.3|PREDICTED: probable E3 ubiquitin-protein ligase RNF217 [Gallus gallus]	XP_423871	1.34563E-16	62	89.7373	75	47	
a10433	transcriptional adapter 2-alpha	535	gi|27369796|ref|NP_766150.1|transcriptional adapter 2-alpha [Mus musculus]	NP_766150	3.19571E-25	98	115.546	60	59	
a10437	scavenger receptor class a member 3	730	gi|126303481|ref|XP_001380024.1|PREDICTED: scavenger receptor class A member 3 [Monodelphis domestica]	XP_001380024	2.67882E-20	83	100.138	117	98	
a104375	mediator of rna polymerase ii transcription subunit 12-like	353	gi|327266980|ref|XP_003218281.1|PREDICTED: mediator of RNA polymerase II transcription subunit 12-like protein-like [Anolis carolinensis]	XP_003218281	5.56965E-34	100	143.665	69	69	
a10438	platelet-activating factor acetylhydrolase ib subunit gamma	1153	gi|27807201|ref|NP_777090.1|platelet-activating factor acetylhydrolase IB subunit gamma [Bos taurus]	NP_777090	2.44273E-100	87	367.081	222	194	
a10444	trna modification gtpase mitochondrial-like	1711	gi|149605447|ref|XP_001518750.1|PREDICTED: tRNA modification GTPase GTPBP3, mitochondrial-like [Ornithorhynchus anatinus]	XP_001518750	3.55654E-144	67	513.457	464	313	
a10446	transmembrane protein 120b	965	gi|58332364|ref|NP_001011029.1|transmembrane protein 120B [Xenopus (Silurana) tropicalis]	NP_001011029	2.12721E-120	96	433.335	266	258	
a10449	ubiquitin-conjugating enzyme e2 q1-like	1451	gi|297280140|ref|XP_001111833.2|PREDICTED: ubiquitin-conjugating enzyme E2 Q1-like [Macaca mulatta]	XP_001111833	7.61013E-129	98	462.225	277	274	
a10456	patatin-like phospholipase domain-containing protein 2-like	625	gi|327273429|ref|XP_003221483.1|PREDICTED: patatin-like phospholipase domain-containing protein 2-like [Anolis carolinensis]	XP_003221483	1.1603E-4	57	47.7506	54	31	
a104596	hypothetical protein BRAFLDRAFT_125665 [Branchiostoma floridae]	310	gi|260830264|ref|XP_002610081.1|hypothetical protein BRAFLDRAFT_125665 [Branchiostoma floridae]	XP_002610081	7.83092E-4	66	43.5134	45	30	
a10463	forkhead-associated domain-containing protein 1	937	gi|291412235|ref|XP_002722390.1|PREDICTED: forkhead-associated (FHA) phosphopeptide binding domain 1-like [Oryctolagus cuniculus]	XP_002722390	4.35438E-30	79	133.265	105	83	
a10464	-dihydroxyvitamin d 24- mitochondrial-like	1536	gi|327288182|ref|XP_003228807.1|PREDICTED: 1,25-dihydroxyvitamin D(3) 24-hydroxylase, mitochondrial-like [Anolis carolinensis]	XP_003228807	2.30921E-14	59	82.0333	116	69	
